game_id;game_date;league_id;league_name;league_season;teams_home_id;teams_home_name;teams_away_id;teams_away_name;score_ht_home;score_ft_home;score_ht_away;score_ft_away
871517;2022-08-31 17:00:00+00:00;61;Ligue 1;2022;95;Strasbourg;83;Nantes;1.0;1.0;0.0;1.0
871518;2022-08-31 19:00:00+00:00;61;Ligue 1;2022;94;Rennes;106;Stade Brestois 29;0.0;3.0;0.0;1.0
871519;2022-08-31 19:00:00+00:00;61;Ligue 1;2022;96;Toulouse;85;Paris Saint Germain;0.0;0.0;1.0;3.0
871520;2022-09-04 13:00:00+00:00;61;Ligue 1;2022;98;Ajaccio;97;Lorient;0.0;0.0;0.0;1.0
871521;2022-09-03 15:00:00+00:00;61;Ligue 1;2022;108;Auxerre;81;Marseille;0.0;0.0;1.0;2.0
871522;2022-09-04 13:00:00+00:00;61;Ligue 1;2022;99;Clermont Foot;96;Toulouse;0.0;2.0;0.0;0.0
871523;2022-09-03 19:00:00+00:00;61;Ligue 1;2022;83;Nantes;85;Paris Saint Germain;0.0;0.0;1.0;3.0
871524;2022-09-04 11:00:00+00:00;61;Ligue 1;2022;82;Montpellier;79;Lille;1.0;1.0;1.0;3.0
871525;2022-09-04 18:45:00+00:00;61;Ligue 1;2022;84;Nice;91;Monaco;0.0;0.0;0.0;1.0
871526;2022-09-03 17:00:00+00:00;61;Ligue 1;2022;80;Lyon;77;Angers;2.0;5.0;0.0;0.0
871527;2022-09-04 13:00:00+00:00;61;Ligue 1;2022;106;Stade Brestois 29;95;Strasbourg;1.0;1.0;1.0;1.0
871528;2022-09-04 13:00:00+00:00;61;Ligue 1;2022;93;Reims;116;Lens;0.0;1.0;0.0;1.0
871529;2022-09-04 15:05:00+00:00;61;Ligue 1;2022;110;Estac Troyes;94;Rennes;1.0;1.0;0.0;1.0
871530;2022-09-11 13:00:00+00:00;61;Ligue 1;2022;98;Ajaccio;84;Nice;0.0;0.0;0.0;1.0
